Sample ID,Fluorescence [ct/s]
BiVa05,0
BiVaO1,0
BiVaO10,0
BiVaO2,0
BiVaO20,0
F052A,4480
F052AH,4880
F052B,3310
F052BH,3620
F052C,3730
F052CH,4120
F052D,3840
F052DH,3890
F052E,4220
F052EH,4140
F052F,4230
F052FH,4800
GXT10,5020
GXT10H,5500
GXT15,6060
GXT15H,7300
GXT20,6850
GXT20H,7850
GXT25,7575
GXT25H,9110
GXT5,3440
GXT5H,3940
OPTI1,3000
OPTI10,3500
OPTI10H,3940
OPTI11,6580
OPTI11H,7200
OPTI12,6160
OPTI12H,7060
OPTI13,6030
OPTI13H,6650
OPTI14,6760
OPTI14H,7250
OPTI15,6230
OPTI15H,6660
OPTI16,5780
OPTI16H,6300
OPTI17,3950
OPTI17H,4240
OPTI18,3730
OPTI18H,4140
OPTI19,3820
OPTI19H,3850
OPTI1H,3330
OPTI2,2840
OPTI20,4100
OPTI20H,4340
OPTI2H,3000
OPTI3,2200
OPTI3H,2500
OPTI4,3440
OPTI4H,3630
OPTI5,2430
OPTI5H,2680
OPTI6,1040
OPTI6H,1220
OPTI7,4600
OPTI7H,5100
OPTI8,3380
OPTI8H,3530
OPTI9,2450
OPTI9H,2200
PBLUE1,0
PBLUE2,0
PBLUE3,0
PBLUE5,0
PBLUE8,0
PG0.5,0
PG0.75,0
PG1,0
PG1.5,0
PG2,0
T22,4430
T22A,4240
T22AH,5170
T22H,4920
T23,4500
T23H,4760
T25,4460
T25H,4900
T27,6900
T27H,8300
