Sample,Base_Name,Thickness_um,GXT_percent,BiVaO4_percent,PG_percent,PearlB_percent
OPTI6,OPTI6,8.0,,,,
OPTI7,OPTI7,8.0,,,,
OPTI8,OPTI8,8.0,,,,
OPTI9,OPTI9,8.0,,,,
OPTI10,OPTI10,8.0,,,,
OPTI1,OPTI1,8.0,,,,
OPTI1H,OPTI1,12.0,,,,
OPTI10H,OPTI10,12.0,,,,
OPTI9H,OPTI9,12.0,,,,
OPTI8H,OPTI8,12.0,,,,
OPTI7H,OPTI7,12.0,,,,
OPTI6H,OPTI6,12.0,,,,
OPTI5H,OPTI5,12.0,,,,
OPTI4H,OPTI4,12.0,,,,
OPTI3H,OPTI3,12.0,,,,
OPTI2H,OPTI2,12.0,,,,
OPTI14,OPTI14,8.0,,,,
OPTI14H,OPTI14,12.0,,,,
OPTI15,OPTI15,8.0,,,,
OPTI11,OPTI11,8.0,,,,
OPTI11H,OPTI11,12.0,,,,
OPTI12,OPTI12,8.0,,,,
OPTI12H,OPTI12,12.0,,,,
OPTI13,OPTI13,8.0,,,,
OPTI13H,OPTI13,12.0,,,,
OPTI16,OPTI16,8.0,,,,
OPTI16H,OPTI16,12.0,,,,
OPTI17,OPTI17,8.0,,,,
OPTI17H,OPTI17,12.0,,,,
OPTI19,OPTI19,8.0,,,,
OPTI19H,OPTI19,12.0,,,,
OPTI20,OPTI20,8.0,,,,
OPTI20H,OPTI20,12.0,,,,
OPTI15,OPTI15,8.0,,,,
OPTI15H,OPTI15,12.0,,,,
OPTI18,OPTI18,8.0,,,,
OPTI18H,OPTI18,12.0,,,,
